s2a_1;s2a_3_a;s2a_3_b;s2a_3_c;s2a_3_d;s2a_3_e;s2a_3_f;s2a_3_g;s2a_3_h;s2a_3_i;s2a_3_j;s2a_3_k;s2a_3_l;s2a_3_m;s2a_3_n;s2a_3_o;s3a_1;s3a_3_a;s3a_3_b;s3a_3_c;s3a_3_d;s3a_3_e;s3a_3_f;s3a_3_g;s3a_3_h;s3a_3_i;s3a_3_j;s3a_3_k;s3a_3_l;s3a_3_n;s3a_3_o;s3a_3_p;s3a_3_q;s3a_3_r;s4a_1_a;s4a_1_b;s4a_1_c;s4a_1_d;s4a_1_e;s4a_1_f;s4a_1_g;s4a_1_h;s4a_1_i;s4a_1_j;s4a_1_k;s4a_1_l;s4a_1_m;s4a_1_n;s6a_1_a;s6a_1_b;s6a_1_c;s6a_1_d;s6a_1_e;s6a_1_f;s6a_1_g;s6a_1_h;s6a_1_i;s6a_1_j;s6a_1_k;s6a_1_l;s6a_1_m;s6a_1_n;s6a_1_o;s6a_1_p;s6a_1_q;s6a_1_r;s6a_1_s;s6a_1_t;s6a_1_u;s6a_1_v;edad;civil;pesos
No;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;No;No;No;No;Si;No;No;No;No;No;Si;No;No;No;Si;No;No;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;55;Casada; 294,27908
No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;54;Soltera; 294,27908
No;Si;No;Si;No;Si;No;Si;No;Si;No;No;Si;No;No;No;Si;Si;Si;No;No;Si;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;Si;Si;No;No;No;Si;Si;Si;Si;No;No;No;No;No;No;No;No;No;No;No;No;No;32;Casada; 503,50099
No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Si;Si;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;53;Casada; 755,25149
No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Si;Si;Si;No;Si;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Si;No;No;No;Si;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;51;Casada; 251,75050
No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;51;Casada; 251,75050
No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Si;Si;No;No;Si;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;37;Casada; 251,75050
No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;71;Separada; 378,68377
No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;38;Casada; 378,68377
No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;Si;No;Si;No;No;Si;Si;Si;No;No;No;No;No;No;No;No;No;No;No;No;No;No;30;Soltera; 378,68377
No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;41;Soltera; 378,68377
